iter	Passed	Remaining
0	2	278
1	4	239
2	6	217
3	8	193
4	9	182
5	11	174
6	12	169
7	14	169
8	18	191
9	20	187
10	22	185
11	24	179
12	26	174
13	27	171
14	30	173
15	33	178
16	35	173
17	37	168
18	38	164
19	40	161
20	42	159
21	44	158
22	46	156
23	48	152
24	49	149
25	51	146
26	52	143
27	54	140
28	56	137
29	58	135
30	60	135
31	63	135
32	65	132
33	66	129
34	68	127
35	70	124
36	73	124
37	76	124
38	78	122
39	79	119
40	81	117
41	82	113
42	83	110
43	85	108
44	87	106
45	89	105
46	91	103
47	93	101
48	96	100
49	98	98
50	99	96
51	101	93
52	104	92
53	106	90
54	107	88
55	109	85
56	110	83
57	112	81
58	114	79
59	117	78
60	120	77
61	123	75
62	125	73
63	127	71
64	129	69
65	133	68
66	136	67
67	138	65
68	140	62
69	141	60
70	143	58
71	146	56
72	149	55
73	150	52
74	152	50
75	153	48
76	155	46
77	156	44
78	160	42
79	164	41
80	167	39
81	171	37
82	173	35
83	176	33
84	180	31
85	183	29
86	185	27
87	186	25
88	188	23
89	191	21
90	194	19
91	195	17
92	196	14
93	198	12
94	199	10
95	201	8
96	204	6
97	207	4
98	209	2
99	213	0
