iter	Passed	Remaining
0	59	59331
1	60	30237
2	61	20452
3	62	15517
4	63	12549
5	63	10570
6	64	9163
7	65	8113
8	66	7280
9	66	6613
10	67	6065
11	68	5610
12	68	5227
13	69	4894
14	70	4608
15	70	4359
16	71	4142
17	72	3944
18	72	3768
19	73	3610
20	74	3481
21	76	3379
22	76	3264
23	77	3153
24	78	3051
25	78	2957
26	79	2869
27	80	2787
28	80	2710
29	81	2640
30	82	2573
31	82	2510
32	83	2451
33	84	2394
34	84	2343
35	85	2296
36	86	2249
37	87	2205
38	87	2164
39	88	2124
40	89	2094
41	90	2070
42	91	2035
43	92	2001
44	92	1969
45	93	1938
46	94	1908
47	94	1879
48	95	1852
49	96	1828
50	96	1803
51	97	1779
52	98	1756
53	98	1733
54	99	1712
55	100	1692
56	101	1671
57	101	1652
58	102	1633
59	103	1615
60	103	1599
61	104	1587
62	105	1570
63	106	1554
64	107	1539
65	107	1523
66	108	1508
67	109	1494
68	109	1481
69	110	1469
70	111	1456
71	112	1443
72	112	1431
73	113	1419
74	114	1408
75	114	1396
76	115	1385
77	116	1373
78	116	1363
79	117	1352
80	118	1345
81	119	1342
82	120	1329
83	120	1319
84	121	1310
85	122	1300
86	123	1291
87	123	1282
88	124	1273
89	125	1265
90	125	1257
91	126	1249
92	127	1241
93	127	1233
94	128	1225
95	129	1219
96	130	1211
97	130	1204
98	131	1197
99	132	1191
100	133	1187
101	134	1184
102	135	1177
103	135	1171
104	136	1165
105	137	1159
106	138	1152
107	138	1146
108	139	1140
109	140	1135
110	141	1129
111	141	1123
112	142	1118
113	143	1112
114	143	1107
115	144	1102
116	145	1096
117	145	1091
118	146	1086
119	147	1083
120	148	1081
121	149	1076
122	150	1072
123	151	1067
124	151	1063
125	152	1059
126	153	1053
127	154	1049
128	154	1045
129	155	1041
130	156	1037
131	157	1033
132	157	1028
133	158	1025
134	159	1020
135	160	1016
136	160	1012
137	161	1008
138	162	1006
139	163	1006
140	164	1003
141	165	998
142	165	994
143	166	990
144	167	986
145	167	982
146	168	978
147	169	975
148	170	971
149	170	968
150	171	964
151	172	961
152	172	957
153	173	954
154	174	950
155	175	948
156	175	944
157	176	942
158	178	942
159	178	939
160	179	935
161	180	931
162	180	928
163	181	925
164	182	922
165	183	919
166	183	916
167	184	913
168	185	910
169	185	907
170	186	904
171	187	902
172	188	900
173	189	898
174	189	895
175	190	892
176	191	891
177	192	890
178	193	888
179	194	886
180	195	883
181	196	880
182	196	878
183	197	875
184	198	873
185	198	870
186	199	868
187	200	865
188	201	862
189	201	860
190	202	857
191	203	855
192	204	853
193	204	850
194	205	848
195	206	848
196	207	847
197	208	845
198	209	842
199	210	840
200	210	838
201	211	835
202	212	833
203	213	831
204	213	829
205	214	827
206	215	824
207	216	822
208	216	820
209	217	818
210	218	816
211	218	813
212	219	811
213	220	809
214	221	808
215	222	807
216	223	805
217	223	803
218	224	800
219	225	798
220	225	796
221	226	794
222	227	792
223	228	790
224	228	788
225	229	786
226	230	784
227	231	782
228	231	780
229	232	778
230	233	776
231	234	774
232	234	773
233	235	772
234	236	771
235	237	769
236	238	767
237	239	765
238	239	763
239	240	761
240	241	759
241	241	757
242	242	755
243	243	753
244	244	752
245	244	750
246	245	748
247	246	746
248	246	744
249	247	742
250	248	740
251	249	739
252	249	737
253	250	736
254	251	735
255	252	733
256	253	732
257	253	730
258	254	728
259	255	726
260	256	725
261	256	723
262	257	722
263	258	720
264	259	719
265	259	717
266	260	716
267	261	714
268	262	712
269	262	711
270	263	709
271	264	707
272	265	707
273	266	706
274	267	704
275	268	703
276	268	701
277	269	700
278	270	698
279	271	697
280	271	695
281	272	693
282	273	692
283	273	690
284	274	689
285	275	687
286	276	686
287	276	684
288	277	683
289	278	681
290	279	680
291	280	679
292	281	678
293	281	677
294	282	675
295	283	674
296	284	673
297	285	671
298	285	670
299	286	668
300	287	667
301	288	665
302	288	664
303	289	662
304	290	661
305	291	660
306	291	658
307	292	657
308	293	655
309	294	655
310	295	654
311	296	653
312	296	651
313	297	650
314	298	648
315	299	647
316	299	645
317	300	644
